,Libros Machine Learning,Autor,Calificacion escala 1 al 5
0,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"4.42 de 1,618 votos"
1,Machine Learning,Tom M. Mitchell,4.05 de 803 votos
2,Together: AI and Human. On The Same Side.,Zoltan Andrejkovics,4.04 de 46 votos
3,Pattern Recognition and Machine Learning,Christopher M. Bishop,"4.31 de 1,663 votos"
4,Bayesian Reasoning and Machine Learning,David Barber,4.10 de 182 votos
5,Make Your Own Neural Network: An In-depth Visual Introduction For Beginners,Michael Taylor,4.08 de 151 votos
6,Pattern Classification,David G. Stork,4.03 de 377 votos
7,"Information Theory, Inference and Learning Algorithms",David J.C. MacKay,4.50 de 414 votos
8,An Introduction to Statistical Learning: With Applications in R,Gareth James,"4.60 de 1,829 votos"
9,"Compassionate Artificial Superintelligence AI 5.0 - AI with Blockchain, BMI, Drone, IOT, and Biometric Technologies",Amit Ray,4.58 de 45 votos
10,Machine Learning: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,Samuel Hack,4.38 de 13 votos
11,Pattern Recognition,Sergios Theodoridis,3.81 de 69 votos
12,"Machine Learning Mathematics: Study Deep Learning Through Data Science. How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining",Samuel Hack,4.20 de 25 votos
13,An Introduction to Support Vector Machines and Other Kernel-Based Learning Methods,Nello Cristianini,4.02 de 57 votos
14,Data Mining: Practical Machine Learning Tools and Techniques,Ian H. Witten,3.90 de 764 votos
15,Mining of Massive Datasets,Anand Rajaraman,4.35 de 223 votos
16,Introduction to Machine Learning,Ethem Alpaydin,3.74 de 221 votos
17,Foundations of Machine Learning,Mehryar Mohri,4.19 de 81 votos
18,Machine Learning: An Algorithmic Perspective,Stephen Marsland,3.74 de 171 votos
19,Optimization for Machine Learning,Suvrit Sra,3.91 de 11 votos
20,Machine Learning: A Bayesian and Optimization Perspective,Sergios Theodoridis,4.20 de 15 votos
21,Understanding Machine Learning,Shai Shalev-Shwartz,4.22 de 96 votos
22,"Machine Learning Refined: Foundations, Algorithms, and Applications",Jeremy Watt,4.22 de 18 votos
23,Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,4.35 de 482 votos
24,The Nature of Statistical Learning Theory,Vladimir N. Vapnik,4.17 de 29 votos
25,Statistical Learning Theory,Vladimir N. Vapnik,4.05 de 22 votos
26,Advanced Algorithms for Neural Networks,Timothy Masters,3.75 de 8 votos
27,Artificial Intelligence and Machine Learning for Business: A No-Nonsense Guide to Data Driven Technologies,Steven Finlay,4.14 de 155 votos
28,"AI Performance: The Art of Live Automation: The ultimate 'how to' guide in creating stunning, technical and revolutionary live shows for any contemporary musical performer",Chris  Frost,5.00 de 2 votos
29,Cracking The Machine Learning Interview,Nitin Suri,3.62 de 24 votos
30,Practical Neural Network Recipes in C++,Timothy Masters,3.77 de 22 votos
31,Artificial Intelligence: A 60 Minute Guide,Steven Finlay,4.32 de 19 votos
32,Assessing and Improving Prediction and Classification,Timothy Masters,4.71 de 7 votos
33,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,Samuel Hack,4.64 de 14 votos
34,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,Samuel Hack,4.64 de 14 votos
35,Artificial Intelligence and Machine Learning for Business: A No-Nonsense Guide to Data Driven Technologies,Steven Finlay,4.14 de 155 votos
36,Neural and Adaptive Systems: Fundamentals Through Simulations,José C. Principe,3.40 de 10 votos
37,"Python Machine Learning: Discover the Essentials of Machine Learning, Data Analysis, Data Science, Data Mining and Artificial Intelligence Using Python Code with Python Tricks",Samuel Hack,4.17 de 6 votos
38,Machine Learning for Beginners: Learn and Understand the Basics of Artificial Intelligence. A Beginner's Guide to Properly Understand Machine Learning Essentials with Data Science Principles,Samuel Hack,4.33 de 6 votos
39,Kernel Methods for Pattern Analysis,John Shawe-Taylor,3.96 de 26 votos
40,Applied Predictive Modeling,Max Kuhn,4.43 de 298 votos
41,Python Programming: 2 Books in 1: Learning Python and Python Machine Learning. A Complete Overview for Beginners. How to Master Python Coding Basics and Effectively Learn Faster Computer Programming,Samuel Hack,3.60 de 5 votos
42,Learning to Classify Text Using Support Vector Machines,Thorsten Joachims,4.10 de 10 votos
43,Machine Learning for Hackers,Drew Conway,3.72 de 395 votos
44,Machine Learning in Action,Peter   Harrington,3.74 de 235 votos
45,C4.5: Programs for Machine Learning,Ross Quinlan,3.33 de 6 votos
46,Introduction to Statistical Machine Learning,Masashi Sugiyama,3.40 de 5 votos
47,Encyclopedia of Machine Learning and Data Mining,Claude Sammut,3.33 de 3 votos
48,An Introduction to Machine Learning,Miroslav Kubat,3.78 de 9 votos
49,A Compendium of Machine Learning I: Symbolic Learning,Garry Briscoe,4.33 de 3 votos
50,Machine Learning: Discriminative and Generative,Tony Jebara,2.33 de 6 votos
51,Machine Learning in Complex Networks,Thiago Christiano Silva,3.00 de 3 votos
52,Machine Learning With R Cookbook - 110 Recipes for Building Powerful Predictive Models with R,"Yu-Wei, Chiu (David Chiu)",4.00 de 2 votos
53,Machine Learning with R,Brett Lantz,4.22 de 272 votos
54,"Fundamentals of Machine Learning for Predictive Data Analytics: Algorithms, Worked Examples, and Case Studies",John D. Kelleher,4.43 de 84 votos
55,"Computer Systems That Learn: Classification and Prediction Methods from Statistics, Neural Nets, Machine Learning and Expert Systems",Sholom M. Weiss,4.00 de 7 votos
56,A First Course in Machine Learning,Simon Rogers,4.04 de 23 votos
57,Machine Learning for Financial Engineering,László Györfi,4.00 de 4 votos
58,MATLAB Machine Learning,Michael Paluszek,5.00 de 2 votos
59,Principles and Theory for Data Mining and Machine Learning,Bertrand Clarke,3.33 de 6 votos
60,"MATLAB Deep Learning: With Machine Learning, Neural Networks and Artificial Intelligence",Phil Kim,3.62 de 16 votos
61,Machine Learning: A Constraint-Based Approach,Marco Gori,4.50 de 2 votos
62,Introduction to Pattern Recognition and Machine Learning (IISc Lecture Notes Series),M. Narasimha Murty,0.00 de 0 votos
63,Machine Learning for Text,Charu C. Aggarwal,4.00 de 8 votos
64,Algorithmic Aspects of Machine Learning,Ankur Moitra,5.00 de 1 rating
65,Scaling Up Machine Learning: Parallel and Distributed Approaches,Ron Bekkerman,4.00 de 13 votos
66,An Elementary Introduction to Statistical Learning Theory,Sanjeev Kulkarni,4.17 de 6 votos
67,Statistical Mechanics of Learning,Avner Engel,2.00 de 2 votos
